RegNo,HerdCode,CalvePeriod,CalveDate,SingleDouble,Sex1,Weight1,CalveCondition1,Sex2,Weight2,CalveCondition2,SpermNo,CalveState,registerdatejalali
3.64009E+14,,1,1400/08/11,1,2,999,999,999,999,999,8.40003E+14,2,1400/09/04
3.64009E+14,,1,1400/01/23,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1401/11/16,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1400/03/18,1,2,999,999,999,999,999,8.40003E+14,2,1400/04/07
3.64009E+14,,2,1401/07/01,1,1,999,1,999,999,999,8.40003E+14,2,1401/07/16
3.64009E+14,,1,1400/04/31,1,1,999,999,999,999,999,1.24E+14,1,1400/05/04
3.64009E+14,,2,1401/10/21,1,2,42,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1400/05/05,1,1,999,999,999,999,999,1.24E+14,1,1400/06/07
3.64009E+14,,2,1401/05/13,1,2,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,3,1402/08/24,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1400/07/30,1,2,36,999,999,999,999,8.40003E+14,1,1400/08/10
3.64009E+14,,2,1401/07/01,1,1,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,3,1402/07/07,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1401/03/15,2,1,999,999,2,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,1,1400/08/06,1,2,999,999,999,999,999,8.40003E+14,1,1400/09/04
3.64009E+14,,2,1401/10/23,1,2,41,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,3,1403/04/10,2,1,38,1,1,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1400/10/22,1,2,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1402/04/21,1,1,999,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,3,1403/05/10,1,2,999,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1400/11/05,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1401/12/19,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1400/11/01,1,2,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1401/09/11,1,1,999,999,999,999,999,0,1,1403/03/15
3.64009E+14,,3,1402/10/19,1,1,41,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1400/10/25,1,2,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1401/12/29,1,2,40,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,3,1403/03/06,1,1,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1400/12/16,1,2,999,999,999,999,999,8.40003E+14,1,1401/01/12
3.64009E+14,,2,1402/03/22,1,2,41,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1400/11/28,1,1,999,999,999,999,999,8.40003E+14,1,1400/12/04
3.64009E+14,,1,1400/11/04,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,2,1401/11/22,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,3,1402/12/18,2,1,999,1,2,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1401/05/19,1,1,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,2,1402/06/14,1,1,999,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,3,1403/07/09,1,1,40,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1400/11/22,1,1,999,999,999,999,999,8.40003E+14,1,1400/12/04
3.64009E+14,,2,1402/02/13,1,2,42,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,3,1403/05/11,1,2,999,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1400/11/28,1,2,999,999,999,999,999,8.40003E+14,1,1400/12/04
3.64009E+14,,2,1401/12/19,1,2,41,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,3,1403/03/01,1,1,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1400/12/21,1,1,999,999,999,999,999,8.40003E+14,1,1401/01/12
3.64009E+14,,2,1402/07/25,1,2,38,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1401/01/27,1,1,999,999,999,999,999,8.40003E+14,1,1401/02/05
3.64009E+14,,2,1402/10/05,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1401/01/07,1,2,999,999,999,999,999,8.40003E+14,1,1401/02/05
3.64009E+14,,2,1402/02/25,1,2,42,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,3,1403/04/12,1,2,999,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1400/12/29,1,2,999,999,999,999,999,8.40003E+14,1,1401/01/12
3.64009E+14,,1,1400/12/26,1,2,999,999,999,999,999,8.40003E+14,1,1401/01/12
3.64009E+14,,1,1400/12/26,1,2,999,999,999,999,999,8.40003E+14,1,1401/01/12
3.64009E+14,,1,1401/02/10,1,2,999,1,999,999,999,8.40003E+14,2,1401/03/21
3.64009E+14,,2,1402/12/12,1,1,40,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1401/04/06,1,2,38,999,999,999,999,8.40003E+14,2,
3.64009E+14,,2,1402/03/20,1,2,32,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1401/02/09,1,2,999,1,999,999,999,8.40003E+14,1,1401/03/21
3.64009E+14,,1,1401/02/06,1,2,999,1,999,999,999,8.40003E+14,1,1401/03/21
3.64009E+14,,1,1401/02/12,1,2,999,1,999,999,999,8.40003E+14,2,1401/03/21
3.64009E+14,,2,1402/04/05,1,2,41,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1401/02/24,1,2,999,999,999,999,999,8.40003E+14,1,1401/03/21
3.64009E+14,,2,1402/08/04,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1401/03/13,1,2,999,999,999,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,1,1401/04/09,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1401/04/29,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/05/05,1,1,999,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1401/04/21,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/08/26,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,3,1403/08/10,1,1,999,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1401/06/17,1,2,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,2,1402/04/05,1,999,999,999,999,999,999,0,2,1403/06/28
3.64009E+14,,3,1403/03/23,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/05/23,1,2,999,999,999,999,999,8.40003E+14,2,1401/06/14
3.64009E+14,,2,1402/04/11,1,1,999,999,999,999,999,0,1,1403/06/28
3.64009E+14,,3,1403/05/18,1,2,999,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/06/08,1,1,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,2,1402/06/16,1,1,999,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,1,1401/08/08,1,2,41,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1403/04/24,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/09/16,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/09/11,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1401/08/29,1,1,44,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/09/04,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1401/11/15,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1401/11/22,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1402/01/04,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1401/11/11,1,2,40,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,2,1403/08/23,1,2,38,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/02/13,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1401/06/09,1,2,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,2,1402/10/30,1,2,39,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/11/04,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1401/11/02,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1402/03/16,1,2,39,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/02/04,1,2,39,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1402/03/16,1,2,32,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,2,1403/08/17,2,2,999,1,2,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/03/20,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/03/23,1,1,35,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,2,1403/03/30,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
