RegNo,HerdCode,DrayDate
3.64009E+14,,1401/07/16
3.64009E+14,,1401/09/05
3.64009E+14,,1401/04/23
3.64009E+14,,1401/08/26
3.64009E+14,,1401/03/14
3.64009E+14,,1402/06/18
3.64009E+14,,1402/04/12
3.64009E+14,,1403/01/31
3.64009E+14,,1402/09/26
3.64009E+14,,1402/08/12
3.64009E+14,,1403/08/12
3.64009E+14,,1401/09/30
3.64009E+14,,1402/04/19
3.64009E+14,,1403/05/26
3.64009E+14,,1401/12/19
3.64009E+14,,1403/03/10
3.64009E+14,,1402/04/12
3.64009E+14,,1402/07/12
3.64009E+14,,1402/01/03
3.64009E+14,,1403/01/30
3.64009E+14,,1403/05/26
3.64009E+14,,1402/06/02
3.64009E+14,,1402/03/11
3.64009E+14,,1403/05/26
3.64009E+14,,1402/06/18
3.64009E+14,,1403/06/17
3.64009E+14,,1403/01/21
3.64009E+14,,1403/03/11
3.64009E+14,,1402/04/25
3.64009E+14,,1403/02/21
3.64009E+14,,1402/07/07
3.64009E+14,,1402/07/02
3.64009E+14,,1403/07/20
3.64009E+14,,1403/07/27
3.64009E+14,,1403/01/23
3.64009E+14,,1403/05/27
3.64009E+14,,1403/07/01
3.64009E+14,,1403/05/15
3.64009E+14,,1403/05/15
3.64009E+14,,1403/07/10
3.64009E+14,,1403/04/20
3.64009E+14,,1403/08/12
3.64009E+14,,1399/03/31
3.64009E+14,,1400/08/03
3.64009E+14,,1399/03/28
3.64009E+14,,1400/04/10
3.64009E+14,,1399/12/06
3.64009E+14,,1401/03/11
3.64009E+14,,1402/08/11
3.64009E+14,,1399/03/28
3.64009E+14,,1400/06/03
3.64009E+14,,1401/12/01
3.64009E+14,,1399/01/21
3.64009E+14,,1400/05/04
3.64009E+14,,1401/09/05
3.64009E+14,,1399/01/03
3.64009E+14,,1399/02/05
3.64009E+14,,1400/08/12
3.64009E+14,,1399/04/06
3.64009E+14,,1400/06/03
3.64009E+14,,1399/02/05
3.64009E+14,,1400/04/06
3.64009E+14,,1401/05/21
3.64009E+14,,1402/09/24
3.64009E+14,,1399/04/18
3.64009E+14,,1400/07/04
3.64009E+14,,1401/07/16
