RegNo,HerdCode,FertDate,SpermNo
3.64009E+14,,1400/04/01,0
3.64009E+14,,1400/05/01,0
3.64009E+14,,1400/06/01,0
3.64009E+14,,1400/07/01,0
3.64009E+14,,1400/08/01,0
3.64009E+14,,1400/09/01,0
3.64009E+14,,1400/10/01,0
3.64009E+14,,1400/11/01,8.40003E+14
3.64009E+14,,1400/12/01,8.40003E+14
3.64009E+14,,1401/01/01,8.40003E+14
3.64009E+14,,1401/02/01,8.40003E+14
3.64009E+14,,1400/09/26,8.40003E+14
3.64009E+14,,1400/07/17,0
3.64009E+14,,1400/08/17,0
3.64009E+14,,1400/09/17,0
3.64009E+14,,1400/10/17,8.40003E+14
3.64009E+14,,1400/11/17,8.40003E+14
3.64009E+14,,1400/12/17,8.40003E+14
3.64009E+14,,1401/01/17,8.40003E+14
3.64009E+14,,1400/08/06,8.40003E+14
3.64009E+14,,1401/08/19,8.40003E+14
3.64009E+14,,1401/09/19,8.40003E+14
3.64009E+14,,1401/10/19,8.40003E+14
3.64009E+14,,1401/11/19,8.40003E+14
3.64009E+14,,1399/10/30,8.40003E+14
3.64009E+14,,1400/09/26,8.40003E+14
3.64009E+14,,1401/08/02,8.40003E+14
3.64009E+14,,1401/09/02,8.40003E+14
3.64009E+14,,1401/10/02,8.40003E+14
3.64009E+14,,1400/10/19,8.40003E+14
3.64009E+14,,1400/11/19,8.40003E+14
3.64009E+14,,1400/12/19,8.40003E+14
3.64009E+14,,1401/01/19,8.40003E+14
3.64009E+14,,1402/04/02,8.40003E+14
3.64009E+14,,1402/05/02,8.40003E+14
3.64009E+14,,1402/06/02,8.40003E+14
3.64009E+14,,1402/07/02,8.40003E+14
3.64009E+14,,1401/04/13,8.40003E+14
3.64009E+14,,1401/05/13,8.40003E+14
3.64009E+14,,1401/06/13,8.40003E+14
3.64009E+14,,1401/07/13,8.40003E+14
3.64009E+14,,1402/05/03,8.40003E+14
3.64009E+14,,1402/06/03,8.40003E+14
3.64009E+14,,1402/07/03,8.40003E+14
3.64009E+14,,1402/08/03,8.40003E+14
3.64009E+14,,1400/12/13,8.40003E+14
3.64009E+14,,1401/01/13,8.40003E+14
3.64009E+14,,1401/02/13,8.40003E+14
3.64009E+14,,1401/03/13,8.40003E+14
3.64009E+14,,1400/09/06,0
3.64009E+14,,1400/10/06,0
3.64009E+14,,1400/11/06,0
3.64009E+14,,1400/12/06,0
3.64009E+14,,1401/10/15,8.40003E+14
3.64009E+14,,1401/11/15,8.40003E+14
3.64009E+14,,1401/12/15,8.40003E+14
3.64009E+14,,1402/01/15,8.40003E+14
3.64009E+14,,1400/12/23,8.40003E+14
3.64009E+14,,1401/01/23,8.40003E+14
3.64009E+14,,1401/02/23,8.40003E+14
3.64009E+14,,1401/03/23,8.40003E+14
3.64009E+14,,1402/02/29,8.40003E+14
3.64009E+14,,1402/03/29,8.40003E+14
3.64009E+14,,1402/04/29,8.40003E+14
3.64009E+14,,1402/05/29,8.40003E+14
3.64009E+14,,1401/03/14,8.40003E+14
3.64009E+14,,1401/04/14,8.40003E+14
3.64009E+14,,1401/05/14,8.40003E+14
3.64009E+14,,1401/06/14,8.40003E+14
3.64009E+14,,1400/11/17,8.40003E+14
3.64009E+14,,1400/12/17,8.40003E+14
3.64009E+14,,1401/01/17,8.40003E+14
3.64009E+14,,1401/02/17,8.40003E+14
3.64009E+14,,1401/12/12,8.40003E+14
3.64009E+14,,1402/01/12,8.40003E+14
3.64009E+14,,1402/02/12,8.40003E+14
3.64009E+14,,1402/03/12,8.40003E+14
3.64009E+14,,1400/08/13,8.40003E+14
3.64009E+14,,1401/06/08,8.40003E+14
3.64009E+14,,1401/07/08,8.40003E+14
3.64009E+14,,1401/08/08,8.40003E+14
3.64009E+14,,1401/09/08,8.40003E+14
3.64009E+14,,1402/06/04,8.40003E+14
3.64009E+14,,1402/07/04,8.40003E+14
3.64009E+14,,1402/08/04,8.40003E+14
3.64009E+14,,1402/09/04,8.40003E+14
3.64009E+14,,1402/10/04,8.40003E+14
3.64009E+14,,1400/12/07,8.40003E+14
3.64009E+14,,1401/01/07,8.40003E+14
3.64009E+14,,1401/02/07,8.40003E+14
3.64009E+14,,1401/03/07,8.40003E+14
3.64009E+14,,1402/05/04,8.40003E+14
3.64009E+14,,1402/06/04,8.40003E+14
3.64009E+14,,1402/07/04,8.40003E+14
3.64009E+14,,1402/08/04,8.40003E+14
3.64009E+14,,1400/12/13,8.40003E+14
3.64009E+14,,1401/01/13,8.40003E+14
3.64009E+14,,1401/02/13,8.40003E+14
3.64009E+14,,1401/03/13,8.40003E+14
3.64009E+14,,1402/02/24,8.40003E+14
3.64009E+14,,1402/03/24,8.40003E+14
3.64009E+14,,1402/04/24,8.40003E+14
3.64009E+14,,1402/05/24,8.40003E+14
3.64009E+14,,1401/08/20,8.40003E+14
3.64009E+14,,1401/09/20,8.40003E+14
3.64009E+14,,1401/10/20,8.40003E+14
3.64009E+14,,1401/03/01,0
3.64009E+14,,1401/04/01,0
3.64009E+14,,1401/05/01,0
3.64009E+14,,1401/06/01,0
3.64009E+14,,1401/07/01,0
3.64009E+14,,1401/08/01,0
3.64009E+14,,1401/09/01,0
3.64009E+14,,1401/10/01,8.40003E+14
3.64009E+14,,1401/11/01,8.40003E+14
3.64009E+14,,1401/12/01,8.40003E+14
3.64009E+14,,1402/01/01,8.40003E+14
3.64009E+14,,1401/02/17,8.40003E+14
3.64009E+14,,1401/03/17,8.40003E+14
3.64009E+14,,1401/04/17,8.40003E+14
3.64009E+14,,1401/05/17,8.40003E+14
3.64009E+14,,1402/04/04,8.40003E+14
3.64009E+14,,1402/05/04,8.40003E+14
3.64009E+14,,1402/06/04,8.40003E+14
3.64009E+14,,1402/07/04,8.40003E+14
3.64009E+14,,1401/09/06,0
3.64009E+14,,1401/10/06,0
3.64009E+14,,1401/11/06,0
3.64009E+14,,1401/12/06,8.40003E+14
3.64009E+14,,1402/01/06,8.40003E+14
3.64009E+14,,1402/02/06,8.40003E+14
3.64009E+14,,1402/03/06,8.40003E+14
3.64009E+14,,1400/06/29,8.40003E+14
3.64009E+14,,1401/03/12,8.40003E+14
3.64009E+14,,1401/04/12,8.40003E+14
3.64009E+14,,1401/05/12,8.40003E+14
3.64009E+14,,1401/06/12,8.40003E+14
3.64009E+14,,1401/03/28,8.40003E+14
3.64009E+14,,1401/04/28,8.40003E+14
3.64009E+14,,1401/05/28,8.40003E+14
3.64009E+14,,1401/06/28,8.40003E+14
3.64009E+14,,1401/08/29,8.40003E+14
3.64009E+14,,1401/09/29,8.40003E+14
3.64009E+14,,1401/10/29,8.40003E+14
3.64009E+14,,1400/07/02,8.40003E+14
3.64009E+14,,1400/07/21,8.40003E+14
3.64009E+14,,1401/04/28,8.40003E+14
3.64009E+14,,1401/05/28,8.40003E+14
3.64009E+14,,1401/06/28,8.40003E+14
3.64009E+14,,1401/07/28,8.40003E+14
3.64009E+14,,1400/07/15,8.40003E+14
3.64009E+14,,1401/08/21,8.40003E+14
3.64009E+14,,1401/09/21,8.40003E+14
3.64009E+14,,1401/10/21,8.40003E+14
3.64009E+14,,1401/11/21,8.40003E+14
3.64009E+14,,1402/07/05,8.40003E+14
3.64009E+14,,1402/08/05,8.40003E+14
3.64009E+14,,1402/09/05,8.40003E+14
3.64009E+14,,1402/10/05,8.40003E+14
3.64009E+14,,1402/11/05,8.40003E+14
3.64009E+14,,1401/07/10,0
3.64009E+14,,1402/03/15,8.40003E+14
3.64009E+14,,1402/05/15,8.40003E+14
3.64009E+14,,1402/06/15,8.40003E+14
3.64009E+14,,1401/06/10,0
3.64009E+14,,1401/07/10,0
3.64009E+14,,1402/05/11,8.40003E+14
3.64009E+14,,1402/06/11,8.40003E+14
3.64009E+14,,1402/07/11,8.40003E+14
3.64009E+14,,1402/08/11,8.40003E+14
3.64009E+14,,1401/09/15,8.40003E+14
3.64009E+14,,1400/11/07,8.40003E+14
3.64009E+14,,1402/04/16,8.40003E+14
3.64009E+14,,1402/05/16,8.40003E+14
3.64009E+14,,1402/06/16,8.40003E+14
3.64009E+14,,1402/07/16,8.40003E+14
3.64009E+14,,1400/12/15,8.40003E+14
3.64009E+14,,1401/09/06,8.40003E+14
3.64009E+14,,1401/10/06,8.40003E+14
3.64009E+14,,1401/11/06,8.40003E+14
3.64009E+14,,1401/12/06,8.40003E+14
3.64009E+14,,1400/11/22,8.40003E+14
3.64009E+14,,1401/08/29,8.40003E+14
3.64009E+14,,1401/09/29,8.40003E+14
3.64009E+14,,1401/10/29,8.40003E+14
3.64009E+14,,1401/11/29,8.40003E+14
3.64009E+14,,1402/07/18,8.40003E+14
3.64009E+14,,1402/08/18,8.40003E+14
3.64009E+14,,1402/09/18,8.40003E+14
3.64009E+14,,1402/10/18,8.40003E+14
3.64009E+14,,1402/11/18,8.40003E+14
3.64009E+14,,1401/10/26,8.40003E+14
3.64009E+14,,1401/11/26,8.40003E+14
3.64009E+14,,1401/12/26,8.40003E+14
3.64009E+14,,1402/01/26,8.40003E+14
3.64009E+14,,1402/07/12,8.40003E+14
3.64009E+14,,1402/08/12,8.40003E+14
3.64009E+14,,1402/09/12,8.40003E+14
3.64009E+14,,1402/10/12,8.40003E+14
3.64009E+14,,1402/11/12,8.40003E+14
3.64009E+14,,1402/03/22,8.40003E+14
3.64009E+14,,1402/05/22,8.40003E+14
3.64009E+14,,1402/06/22,8.40003E+14
3.64009E+14,,1402/01/30,8.40003E+14
3.64009E+14,,1402/02/30,8.40003E+14
3.64009E+14,,1402/03/30,8.40003E+14
3.64009E+14,,1402/04/30,8.40003E+14
3.64009E+14,,1402/07/21,8.40003E+14
3.64009E+14,,1402/08/21,8.40003E+14
3.64009E+14,,1402/09/21,8.40003E+14
3.64009E+14,,1402/10/21,8.40003E+14
3.64009E+14,,1402/11/21,8.40003E+14
3.64009E+14,,1402/06/02,8.40003E+14
3.64009E+14,,1402/07/02,8.40003E+14
3.64009E+14,,1402/08/02,8.40003E+14
3.64009E+14,,1402/09/02,8.40003E+14
3.64009E+14,,1402/10/02,8.40003E+14
3.64009E+14,,1402/07/24,8.40003E+14
3.64009E+14,,1402/08/24,8.40003E+14
3.64009E+14,,1402/09/24,8.40003E+14
3.64009E+14,,1402/10/24,8.40003E+14
3.64009E+14,,1402/11/24,8.40003E+14
3.64009E+14,,1398/09/22,8.40003E+14
3.64009E+14,,1399/08/16,8.40003E+14
3.64009E+14,,1399/09/16,8.40003E+14
3.64009E+14,,1399/10/16,8.40003E+14
3.64009E+14,,1399/11/16,8.40003E+14
3.64009E+14,,1399/12/16,8.40003E+14
3.64009E+14,,1400/01/16,8.40003E+14
3.64009E+14,,1397/06/06,8.4E+14
3.64009E+14,,1398/08/19,8.40003E+14
3.64009E+14,,1399/08/26,8.40003E+14
3.64009E+14,,1400/09/17,8.40003E+14
3.64009E+14,,1398/12/19,8.40003E+14
3.64009E+14,,1399/01/19,8.40003E+14
3.64009E+14,,1399/02/19,8.40003E+14
3.64009E+14,,1399/03/19,8.40003E+14
3.64009E+14,,1399/04/19,8.40003E+14
3.64009E+14,,1400/08/06,8.40003E+14
3.64009E+14,,1401/10/17,8.40003E+14
3.64009E+14,,1401/11/17,8.40003E+14
3.64009E+14,,1401/12/17,8.40003E+14
3.64009E+14,,1402/01/17,8.40003E+14
3.64009E+14,,1398/08/18,8.40003E+14
3.64009E+14,,1399/10/24,8.40003E+14
3.64009E+14,,1401/01/21,8.40003E+14
3.64009E+14,,1401/02/21,8.40003E+14
3.64009E+14,,1401/03/21,8.40003E+14
3.64009E+14,,1401/04/21,8.40003E+14
3.64009E+14,,1398/07/19,0
3.64009E+14,,1398/06/11,8.40003E+14
3.64009E+14,,1399/09/12,8.40003E+14
3.64009E+14,,1400/09/18,0
3.64009E+14,,1400/10/18,0
3.64009E+14,,1400/11/18,0
3.64009E+14,,1400/12/18,8.40003E+14
3.64009E+14,,1401/01/18,8.40003E+14
3.64009E+14,,1401/02/18,8.40003E+14
3.64009E+14,,1401/03/18,8.40003E+14
3.64009E+14,,1401/12/08,8.40003E+14
3.64009E+14,,1402/01/08,8.40003E+14
3.64009E+14,,1402/02/08,8.40003E+14
3.64009E+14,,1402/03/08,8.40003E+14
3.64009E+14,,1398/05/26,8.40003E+14
3.64009E+14,,1398/06/19,8.40003E+14
3.64009E+14,,1398/08/26,8.40003E+14
3.64009E+14,,1399/10/21,8.40003E+14
3.64009E+14,,1400/07/10,0
3.64009E+14,,1400/09/10,0
3.64009E+14,,1400/10/10,8.40003E+14
3.64009E+14,,1397/10/29,8.40003E+14
3.64009E+14,,1398/06/18,8.40003E+14
3.64009E+14,,1399/08/28,8.40003E+14
3.64009E+14,,1400/10/10,8.40003E+14
3.64009E+14,,1401/12/02,8.40003E+14
3.64009E+14,,1402/01/02,8.40003E+14
3.64009E+14,,1402/02/02,8.40003E+14
3.64009E+14,,1402/03/02,8.40003E+14
3.64009E+14,,1397/07/10,3.64099E+14
3.64009E+14,,1398/07/02,0
3.64009E+14,,1398/08/02,0
3.64009E+14,,1398/09/02,8.40003E+14
3.64009E+14,,1399/08/13,0
3.64009E+14,,1399/09/13,0
3.64009E+14,,1399/10/13,0
3.64009E+14,,1399/11/13,8.40003E+14
3.64009E+14,,1400/09/03,0
3.64009E+14,,1400/10/03,0
3.64009E+14,,1400/11/03,0
3.64009E+14,,1400/12/03,8.40003E+14
3.64009E+14,,1398/05/27,8.40003E+14
3.64009E+14,,1399/07/21,1.24E+14
3.64009E+14,,1400/07/29,0
3.64009E+14,,1400/08/29,0
3.64009E+14,,1400/09/29,0
3.64009E+14,,1400/10/29,8.40003E+14
3.64009E+14,,1400/11/29,8.40003E+14
3.64009E+14,,1400/12/29,8.40003E+14
3.64009E+14,,1401/01/29,8.40003E+14
3.64009E+14,,1397/07/02,3.64099E+14
3.64009E+14,,1398/10/01,8.40003E+14
3.64009E+14,,1399/10/21,8.40003E+14
3.64009E+14,,1400/10/29,8.40003E+14
3.64009E+14,,1400/11/29,8.40003E+14
3.64009E+14,,1400/12/29,8.40003E+14
3.64009E+14,,1401/01/29,8.40003E+14
3.64009E+14,,1399/01/10,8.40003E+14
3.64009E+14,,1400/01/22,8.40003E+14
3.64009E+14,,1400/12/15,0
3.64009E+14,,1401/01/15,0
3.64009E+14,,1401/02/15,0
3.64009E+14,,1401/03/15,0
3.64009E+14,,1401/04/15,0
3.64009E+14,,1401/05/15,0
3.64009E+14,,1401/06/15,0
3.64009E+14,,1401/07/15,0
3.64009E+14,,1401/08/15,0
3.64009E+14,,1401/09/15,8.40003E+14
3.64009E+14,,1401/10/15,8.40003E+14
3.64009E+14,,1401/11/15,8.40003E+14
3.64009E+14,,1401/12/15,8.40003E+14
3.64009E+14,,1397/06/12,8.40003E+14
3.64009E+14,,1399/02/28,8.40003E+14
3.64009E+14,,1398/03/07,3.64099E+14
3.64009E+14,,1398/12/01,8.40003E+14
3.64009E+14,,1400/01/20,8.40003E+14
3.64009E+14,,1400/02/20,8.40003E+14
3.64009E+14,,1401/08/14,8.40003E+14
3.64009E+14,,1401/09/14,8.40003E+14
3.64009E+14,,1401/10/14,8.40003E+14
3.64009E+14,,1399/01/10,8.40003E+14
3.64009E+14,,1397/10/16,8.40003E+14
3.64009E+14,,1397/11/22,8.40003E+14
3.64009E+14,,1397/12/22,8.40003E+14
3.64009E+14,,1398/01/22,8.40003E+14
3.64009E+14,,1398/02/22,8.40003E+14
3.64009E+14,,1398/03/22,8.40003E+14
3.64009E+14,,1398/05/22,8.40003E+14
3.64009E+14,,1398/06/22,8.40003E+14
3.64009E+14,,1398/07/22,8.40003E+14
3.64009E+14,,1398/08/22,8.40003E+14
3.64009E+14,,1398/09/22,8.40003E+14
3.64009E+14,,1399/04/08,8.40003E+14
3.64009E+14,,1400/08/15,0
3.64009E+14,,1400/09/15,0
3.64009E+14,,1400/10/15,8.40003E+14
3.64009E+14,,1398/10/06,8.40003E+14
3.64009E+14,,1397/10/16,8.40003E+14
3.64009E+14,,1398/12/21,8.40003E+14
3.64009E+14,,1398/05/10,8.40003E+14
3.64009E+14,,1398/11/26,8.40003E+14
3.64009E+14,,1400/01/12,8.40003E+14
3.64009E+14,,1397/11/07,8.40003E+14
3.64009E+14,,1399/02/15,8.40003E+14
3.64009E+14,,1399/03/06,8.40003E+14
3.64009E+14,,1399/08/15,8.40003E+14
3.64009E+14,,1399/09/15,8.40003E+14
3.64009E+14,,1399/10/15,8.40003E+14
3.64009E+14,,1398/01/04,8.4E+14
3.64009E+14,,1399/02/05,8.40003E+14
3.64009E+14,,1399/02/28,8.40003E+14
3.64009E+14,,1400/05/30,8.40003E+14
3.64009E+14,,1401/04/13,8.40003E+14
3.64009E+14,,1401/05/13,8.40003E+14
3.64009E+14,,1401/06/13,8.40003E+14
3.64009E+14,,1401/07/13,8.40003E+14
3.64009E+14,,1402/05/10,8.40003E+14
3.64009E+14,,1402/06/10,8.40003E+14
3.64009E+14,,1402/07/10,8.40003E+14
3.64009E+14,,1402/08/10,8.40003E+14
3.64009E+14,,1398/02/16,8.40003E+14
3.64009E+14,,1398/11/23,8.40003E+14
3.64009E+14,,1399/12/05,8.40003E+14
3.64009E+14,,1400/01/05,8.40003E+14
3.64009E+14,,1400/02/05,8.40003E+14
3.64009E+14,,1400/03/05,8.40003E+14
3.64009E+14,,1400/04/05,8.40003E+14
3.64009E+14,,1400/05/05,8.40003E+14
3.64009E+14,,1400/06/04,8.40003E+14
3.64009E+14,,1399/01/30,8.40003E+14
3.64009E+14,,1399/02/22,8.40003E+14
3.64009E+14,,1399/06/07,8.40003E+14
3.64009E+14,,1399/07/07,8.40003E+14
3.64009E+14,,1399/08/07,8.40003E+14
3.64009E+14,,1399/09/07,8.40003E+14
3.64009E+14,,1399/10/04,8.40003E+14
3.64009E+14,,1399/11/04,8.40003E+14
3.64009E+14,,1398/02/07,8.40003E+14
3.64009E+14,,1399/09/04,8.40003E+14
3.64009E+14,,1399/10/04,8.40003E+14
3.64009E+14,,1399/11/04,8.40003E+14
3.64009E+14,,1400/11/03,0
3.64009E+14,,1400/12/03,8.40003E+14
3.64009E+14,,1401/01/03,8.40003E+14
3.64009E+14,,1401/02/03,8.40003E+14
3.64009E+14,,1401/03/03,8.40003E+14
3.64009E+14,,1398/04/21,8.40003E+14
3.64009E+14,,1399/02/31,8.40003E+14
3.64009E+14,,1399/03/27,8.40003E+14
3.64009E+14,,1399/06/17,8.40003E+14
3.64009E+14,,1400/04/10,0
3.64009E+14,,1400/05/10,0
3.64009E+14,,1400/06/10,0
3.64009E+14,,1400/07/10,8.40003E+14
3.64009E+14,,1400/10/13,0
3.64009E+14,,1400/11/13,0
3.64009E+14,,1400/12/13,0
3.64009E+14,,1401/01/13,0
3.64009E+14,,1401/11/13,0
3.64009E+14,,1401/12/13,0
3.64009E+14,,1402/01/13,0
3.64009E+14,,1402/02/13,8.40003E+14
3.64009E+14,,1402/03/13,8.40003E+14
3.64009E+14,,1402/04/13,8.40003E+14
3.64009E+14,,1402/05/13,8.40003E+14
3.64009E+14,,1398/02/07,8.4E+14
3.64009E+14,,1399/02/21,8.40003E+14
3.64009E+14,,1399/03/13,8.40003E+14
3.64009E+14,,1399/08/03,1.24E+14
3.64009E+14,,1398/02/07,8.4E+14
3.64009E+14,,1399/02/22,8.40003E+14
3.64009E+14,,1399/06/29,8.4E+14
3.64009E+14,,1399/07/29,8.4E+14
3.64009E+14,,1399/08/29,8.4E+14
3.64009E+14,,1399/09/29,8.4E+14
3.64009E+14,,1399/10/29,8.4E+14
3.64009E+14,,1399/11/29,8.4E+14
3.64009E+14,,1399/12/29,8.4E+14
3.64009E+14,,1400/01/29,8.4E+14
3.64009E+14,,1400/02/29,8.4E+14
3.64009E+14,,1400/03/29,8.4E+14
3.64009E+14,,1400/04/29,8.4E+14
3.64009E+14,,1400/05/29,8.4E+14
3.64009E+14,,1401/09/15,0
3.64009E+14,,1401/10/15,0
3.64009E+14,,1401/11/15,0
3.64009E+14,,1401/12/15,8.40003E+14
3.64009E+14,,1402/01/15,8.40003E+14
3.64009E+14,,1402/02/15,8.40003E+14
3.64009E+14,,1402/03/15,8.40003E+14
3.64009E+14,,1398/02/21,8.4E+14
3.64009E+14,,1399/02/31,8.40003E+14
3.64009E+14,,1399/03/30,8.40003E+14
3.64009E+14,,1399/05/13,8.40003E+14
3.64009E+14,,1400/08/14,8.40003E+14
3.64009E+14,,1401/11/28,8.40003E+14
3.64009E+14,,1401/12/28,8.40003E+14
3.64009E+14,,1402/01/28,8.40003E+14
3.64009E+14,,1402/02/28,8.40003E+14
3.64009E+14,,1399/02/30,8.40003E+14
3.64009E+14,,1399/07/07,1.24E+14
3.64009E+14,,1400/07/06,0
3.64009E+14,,1400/08/06,0
3.64009E+14,,1400/09/06,0
