RegNo,BodyNo,HerdCode,BirthDate,BloodPercent,FatherCode,MotherCode,CancelDate,CompletedDate
3.64009E+14,771,,1398/02/31,100,8.40003E+14,3.64099E+14,1401/09/06,1398/09/05
3.64009E+14,772,,1398/03/12,75,8.4E+14,3.64009E+14,1402/07/12,1399/01/16
3.64009E+14,773,,1398/03/13,100,3.64099E+14,3.64099E+14,1400/09/10,1399/03/17
3.64009E+14,774,,1398/04/05,75,8.4E+14,3.64009E+14,1401/09/28,1399/01/20
3.64009E+14,775,,1398/04/05,75,8.4E+14,3.64009E+14,1402/05/05,1399/01/20
3.64009E+14,776,,1398/05/24,100,8.40003E+14,3.64009E+14,0,1399/01/20
3.64009E+14,777,,1398/07/21,100,8.40003E+14,3.64009E+14,0,1399/01/20
3.64009E+14,778,,1398/07/28,100,8.40003E+14,3.64009E+14,1401/04/10,1399/01/20
3.64009E+14,779,,1398/07/23,100,8.40003E+14,3.64009E+14,1399/08/25,1399/01/20
3.64009E+14,780,,1398/08/15,100,8.40003E+14,3.64009E+14,0,1399/01/20
3.64009E+14,781,,1398/10/07,100,8.4E+14,3.64009E+14,0,1399/01/20
3.64009E+14,782,,1398/10/30,100,8.40003E+14,3.64099E+14,1403/01/30,1399/01/20
3.64009E+14,783,,1398/11/03,100,8.40003E+14,3.64099E+14,0,1399/01/20
3.64009E+14,784,,1398/11/05,100,8.40003E+14,3.64009E+14,1401/05/23,1399/01/20
3.64009E+14,785,,1398/11/06,100,8.4E+14,3.64009E+14,1400/11/25,1399/01/20
3.64009E+14,786,,1398/11/06,100,8.40003E+14,3.64009E+14,0,1399/01/20
3.64009E+14,787,,1398/11/06,100,8.4E+14,3.64009E+14,0,1399/01/20
3.64009E+14,788,,1398/11/19,100,8.4E+14,3.64009E+14,1400/12/21,1399/01/20
3.64009E+14,789,,1398/11/20,100,8.40003E+14,3.64009E+14,0,1399/01/20
3.64009E+14,790,,1398/11/25,100,2.76001E+14,3.64009E+14,0,1399/01/20
3.64009E+14,791,,1398/12/08,100,1.24E+14,3.64009E+14,0,1399/01/20
3.64009E+14,792,,1398/12/13,100,3.64099E+14,3.64009E+14,0,1399/01/20
3.64009E+14,793,,1398/12/14,100,2.76001E+14,3.64009E+14,0,1399/01/20
3.64009E+14,794,,1398/12/27,100,8.40003E+14,3.64099E+14,0,1399/01/20
3.64009E+14,795,,1399/01/07,100,8.40003E+14,3.64009E+14,0,1399/03/17
3.64009E+14,796,,1399/01/07,100,8.40003E+14,3.64009E+14,1401/09/22,1399/03/17
3.64009E+14,797,,1399/01/29,100,8.40003E+14,3.64009E+14,1402/01/16,1399/03/17
3.64009E+14,798,,1399/02/02,100,8.40003E+14,3.64099E+14,1403/01/15,1399/03/17
3.64009E+14,799,,1399/02/05,100,8.40003E+14,3.64099E+14,0,1399/03/17
3.64009E+14,800,,1399/02/14,100,8.40003E+14,3.64099E+14,1401/04/09,1399/03/17
3.64009E+14,801,,1399/02/15,100,1.24E+14,3.64009E+14,1402/07/01,1399/03/17
3.64009E+14,802,,1399/02/15,100,8.40003E+14,3.64099E+14,1402/06/22,1399/03/17
3.64009E+14,803,,1399/02/17,100,8.40003E+14,3.64009E+14,1401/12/20,1399/04/19
3.64009E+14,804,,1399/02/30,100,8.40003E+14,3.64009E+14,1403/06/31,1399/04/19
3.64009E+14,806,,1399/02/30,100,8.40003E+14,3.64009E+14,0,1399/04/19
3.64009E+14,805,,1399/03/05,100,8.40003E+14,3.64099E+14,1401/03/31,1399/04/19
3.64009E+14,807,,1399/03/05,100,8.40003E+14,3.64009E+14,1403/01/05,1399/04/19
3.64009E+14,808,,1399/03/12,100,8.40003E+14,3.64099E+14,1401/06/29,1399/04/19
3.64009E+14,809,,1399/03/19,100,8.40003E+14,3.64009E+14,1401/06/12,1399/04/19
3.64009E+14,810,,1399/03/27,100,8.40003E+14,3.64009E+14,1401/04/09,1399/04/19
3.64009E+14,811,,1399/04/02,100,8.40003E+14,3.64099E+14,1403/06/31,1399/04/19
3.64009E+14,812,,1399/05/08,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,813,,1399/05/09,100,8.40003E+14,3.64009E+14,1400/09/12,1399/12/03
3.64009E+14,814,,1399/05/19,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,815,,1399/05/25,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,816,,1399/06/08,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,817,,1399/07/02,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,818,,1399/08/15,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,819,,1399/09/06,100,8.40003E+14,3.64009E+14,0,1399/12/03
3.64009E+14,820,,1399/09/28,100,8.40003E+14,3.64099E+14,1402/08/18,1399/12/03
3.64009E+14,821,,1399/10/22,100,8.40003E+14,3.64009E+14,1401/09/09,1399/12/14
3.64009E+14,822,,1399/10/29,100,8.40003E+14,3.64009E+14,0,1399/12/14
3.64009E+14,823,,1399/11/05,100,8.40003E+14,3.64009E+14,0,1399/12/14
3.64009E+14,824,,1399/11/20,100,8.40003E+14,3.64009E+14,1401/06/29,1399/12/14
3.64009E+14,825,,1399/11/24,100,8.40003E+14,3.64009E+14,0,1399/12/14
3.64009E+14,826,,1399/11/26,100,8.40003E+14,3.64009E+14,0,1399/12/16
3.64009E+14,827,,1400/01/05,100,8.40003E+14,3.64009E+14,0,1400/01/31
3.64009E+14,828,,1400/01/09,100,8.40003E+14,3.64009E+14,0,1400/01/31
3.64009E+14,829,,1400/01/13,87.5,8.40003E+14,3.64009E+14,1403/08/17,1400/01/31
3.64009E+14,830,,1400/02/18,87.5,8.40003E+14,3.64009E+14,1403/04/20,1400/04/06
