HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64009E+14,1401/05/04,3.77,3.16,,140
,3.64009E+14,1402/11/15,4.37,3.35,,
,3.64009E+14,1400/07/04,5.36,3.47,18,
,3.64009E+14,1400/03/04,4.13,3.22,,31
,3.64009E+14,1400/10/04,4.03,3.22,,17
,3.64009E+14,1401/11/09,5.55,3.46,,91
,3.64009E+14,1401/12/10,4.25,3.15,,26
,3.64009E+14,1399/07/02,3.41,3.6,,45
,3.64009E+14,1403/06/18,4.12,3.99,,13
,3.64099E+14,1399/08/03,3.17,2.77,,160
,3.64009E+14,1401/12/10,4.75,2.85,,28
,3.64009E+14,1401/06/07,4.12,3.96,,37
,3.64099E+14,1400/07/04,2.71,2.7,17,
,3.64099E+14,1398/11/03,3.01,3.31,,16
,3.64009E+14,1401/03/08,4.21,2.95,,35
,3.64009E+14,1399/11/01,4.86,3,,
,3.64009E+14,1401/02/04,4.63,3.08,,47
,3.64009E+14,1402/07/11,3.36,3.05,,13
,3.64099E+14,1400/09/01,4.67,3.46,,18
,3.64099E+14,1400/10/04,4.2,3.12,,18
,3.64099E+14,1399/12/01,3.45,2.66,,268
,3.64009E+14,1401/06/07,5,3.85,,99
,3.64009E+14,1399/11/01,4.66,3.1,,
,3.64099E+14,1402/04/11,3.01,2.46,,15
,3.64009E+14,1401/12/10,4.91,2.44,,60
,3.64009E+14,1403/06/18,3.85,3.41,,14
,3.64009E+14,1400/01/03,3.07,3.11,,373
,3.64009E+14,1401/01/06,2.49,2.86,,24
,3.64009E+14,1402/09/11,2.95,2.21,,46
,3.64099E+14,1398/12/05,3.9,3.29,,
,3.64009E+14,1402/05/13,4.82,2.66,,11
,3.64009E+14,1401/08/08,4.32,3.1,,183
,3.64009E+14,1402/12/16,4.87,3,,26
,3.64009E+14,1399/10/05,3.01,2.66,,288
,3.64009E+14,1401/05/04,5.31,3.82,,411
,3.64009E+14,1402/05/13,5,2.31,,13
,3.64009E+14,1401/06/07,4.28,3.84,,33
,3.64099E+14,1398/10/03,4.73,3.47,,49
,3.64009E+14,1399/08/03,2.5,2.35,,37
,3.64009E+14,1400/04/01,3.27,3.51,,325
,3.64009E+14,1401/01/06,5.14,3.14,,605
,3.64099E+14,1398/09/05,2.3,3.27,,67
,3.64009E+14,1400/05/02,3,3.41,,
,3.64099E+14,1400/04/01,2.29,3.1,,666
,3.64009E+14,1401/08/08,4.33,3.57,,94
,3.64009E+14,1401/09/08,4.02,3.23,,94
,3.64009E+14,1402/05/13,4.45,2.28,,11
,3.64009E+14,1400/04/01,2.52,3.86,,205
,3.64009E+14,1400/06/02,3.12,2.96,,29
,3.64009E+14,1402/03/12,3.49,2.54,,1885
,3.64099E+14,1398/09/05,2.71,3.68,,51
,3.64099E+14,1398/11/03,4.68,3.45,,21
,3.64099E+14,1400/08/01,3.03,2.59,,376
,3.64009E+14,1402/11/15,3.86,3.2,,
,3.64009E+14,1400/10/04,3.45,2.62,,19
,3.64099E+14,1398/10/03,2.53,3.39,,106
,3.64009E+14,1402/07/11,4.96,3.11,,12
,3.64009E+14,1401/09/08,3.82,3.63,,140
,3.64009E+14,1401/11/09,6.99,2.82,,82
,3.64009E+14,1400/04/01,3.22,3.32,,78
,3.64009E+14,1402/02/12,5.46,2.74,,13
,3.64009E+14,1399/02/01,4.08,3.32,,145
,3.64009E+14,1399/09/04,2.91,2.37,,152
,3.64009E+14,1400/02/01,2.96,2.5,,
,3.64009E+14,1399/05/02,3.2,2.91,,
,3.64099E+14,1399/07/02,2.71,2.88,,97
,3.64009E+14,1403/04/11,3.78,3.19,,
,3.64009E+14,1400/03/04,4.14,3.13,,79
,3.64009E+14,1399/11/01,4.99,3.09,,
,3.64099E+14,1401/01/06,4.38,2.74,,55
,3.64099E+14,1402/07/11,5,2.91,,229
,3.64009E+14,1400/01/03,4.12,3.01,,304
,3.64009E+14,1401/03/08,3.35,2.62,,29
,3.64009E+14,1402/07/11,4.12,3.48,,202
,3.64009E+14,1399/11/01,4.6,3.47,,
,3.64099E+14,1398/09/05,2.78,3.24,,62
,3.64009E+14,1399/04/10,3.9,3.19,,228
,3.64009E+14,1400/08/01,5.78,3.76,,201
,3.64009E+14,1403/05/15,2.37,2.73,,12
,3.64009E+14,1403/06/18,3.87,3.58,,14
,3.64099E+14,1400/01/03,2.58,3.05,,740
,3.64009E+14,1402/07/11,3.95,2.88,,18
,3.64009E+14,1400/02/01,3.72,2.5,,
,3.64009E+14,1401/04/04,4.42,3.19,,199
,3.64009E+14,1403/05/15,4.89,3.39,,11
,3.64009E+14,1401/12/10,4.38,2.77,,139
,3.64009E+14,1400/11/05,2.66,2.63,,15
,3.64099E+14,1399/05/02,3.32,2.99,,
,3.64009E+14,1401/09/08,3.58,3.4,,183
,3.64009E+14,1403/06/18,2.86,3.17,,12
,3.64009E+14,1400/08/01,4.24,3.3,,190
,3.64009E+14,1402/04/11,4.49,2.46,,20
,3.64099E+14,1400/11/05,4.02,2.55,,20
,3.64009E+14,1403/07/22,4.98,4.07,,5605
,3.64009E+14,1400/05/02,4.35,3.79,,
,3.64099E+14,1399/12/01,3.28,3.39,,94
,3.64009E+14,1401/09/08,3.59,3.32,,445
,3.64009E+14,1401/10/07,3.93,3.42,,66
,3.64009E+14,1403/08/24,5,4.32,,116
,3.64009E+14,1402/11/15,3.6,2.9,,
,3.64099E+14,1399/07/02,3.63,3.17,,62
,3.64009E+14,1402/02/12,4.86,2.81,,16
,3.64009E+14,1399/04/10,3.58,2.88,,21
,3.64009E+14,1400/11/05,4.21,2.8,,19
,3.64099E+14,1399/02/01,4.84,2.64,,20
,3.64099E+14,1400/08/01,5.07,4.23,,64
,3.64009E+14,1402/03/12,5,2.35,,1622
,3.64009E+14,1402/11/15,4.55,3.38,,
,3.64009E+14,1402/09/11,4.69,3.13,,525
,3.64009E+14,1400/04/01,3.57,3.68,,80
,3.64009E+14,1399/09/04,2.86,2.36,,206
,3.64099E+14,1402/06/15,4.33,3.63,,50
,3.64009E+14,1401/08/08,4.65,3.69,,140
,3.64009E+14,1400/01/03,3.67,3.2,,114
,3.64009E+14,1399/11/01,4.53,3.35,,
,3.64099E+14,1399/03/08,3.12,3.11,,388
,3.64009E+14,1403/08/24,5,3.07,,323
,3.64009E+14,1399/03/08,3.17,3.02,,102
,3.64009E+14,1401/05/04,5.08,3.76,,183
,3.64009E+14,1400/10/04,3.88,3.17,,18
,3.64099E+14,1399/01/08,3.18,3.03,,100
,3.64009E+14,1401/10/07,4.34,3.16,,67
,3.64009E+14,1400/01/03,3.68,2.82,,392
,3.64009E+14,1402/04/11,5.45,2.19,,184
,3.64009E+14,1400/09/01,4.71,3.18,,17
,3.64009E+14,1401/07/07,6.99,4.01,,411
,3.64009E+14,1401/11/09,4.05,3,,57
,3.64009E+14,1402/02/12,3.55,2.63,,19
,3.64009E+14,1402/09/11,4.47,3.1,,33
,3.64099E+14,1399/03/08,3.84,3.17,,312
,3.64099E+14,1399/06/02,3.28,2.91,,34
,3.64009E+14,1401/12/10,4.21,2.69,,26
,3.64009E+14,1403/06/18,5,3.92,,20
,3.64099E+14,1403/07/22,5,3.26,,1904
,3.64099E+14,1401/01/06,2.8,2.49,,242
,3.64009E+14,1400/01/03,3.99,2.75,,269
,3.64009E+14,1402/02/12,5.01,2.57,,13
