RegNo,HerdCode,CalvePeriod,RecordDate,SumMilk,FatPercent,ProPercent,SomaticCell
3.64009E+14,,1,1400/09/01,33.5,3.85,2.22,16
3.64009E+14,,1,1400/10/04,43.5,3.85,2.95,17
3.64009E+14,,1,1400/11/05,44.5,3.28,2.4,16
3.64009E+14,,1,1400/12/02,41.5,3.21,3.22,367
3.64009E+14,,1,1401/01/06,23.5,0,0,0
3.64009E+14,,1,1401/02/04,37.5,5.26,2.95,936
3.64009E+14,,1,1401/03/08,39,4.3,2.34,34
3.64009E+14,,1,1401/04/04,38,3.08,2.95,36
3.64009E+14,,1,1401/05/04,34,4.09,3.47,105
3.64009E+14,,1,1401/06/07,39.5,3.48,3.5,30
3.64009E+14,,1,1401/07/07,36.69,4.82,3.26,183
3.64009E+14,,0,1401/11/09,17.92,4.88,4.06,114
3.64009E+14,,1,1400/11/05,20,4.66,3.44,27
3.64009E+14,,1,1400/12/02,26,3.06,2.64,21
3.64009E+14,,1,1401/01/06,26,3.92,2.21,27
3.64009E+14,,1,1401/02/04,27.5,4.66,2.52,40
3.64009E+14,,1,1401/03/08,25,3.9,2.52,30
3.64009E+14,,1,1401/04/04,25,3.78,3.11,105
3.64009E+14,,1,1401/05/04,23,3.77,3.16,140
3.64009E+14,,1,1401/06/07,23.73,4.19,3.58,115
3.64009E+14,,1,1401/07/07,19.16,6.92,4.09,186
3.64009E+14,,1,1401/08/08,15.37,4.46,3.22,450
3.64009E+14,,2,1401/12/10,30.33,3.39,2.42,85
3.64009E+14,,2,1402/01/09,26.98,4.81,2.61,30
3.64009E+14,,2,1402/02/12,21.33,6.02,2.54,13
3.64009E+14,,2,1402/03/12,24.65,5,2.41,1071
3.64009E+14,,2,1402/04/11,21.96,3.64,2.63,13
3.64009E+14,,2,1402/05/13,20.09,5,2.74,14
3.64009E+14,,2,1402/06/15,13.4,5,3.3,16
3.64009E+14,,2,1402/07/11,11.43,5,3.3,11
3.64009E+14,,1,1400/04/01,33,3.82,3.92,23
3.64009E+14,,1,1400/05/02,43.5,2.17,2.84,0
3.64009E+14,,1,1400/06/02,31.5,3.12,2.86,22
3.64009E+14,,1,1400/07/04,35,3.4,3.07,0
3.64009E+14,,1,1400/08/01,36,3.92,3.13,708
3.64009E+14,,1,1400/09/01,38.5,3.39,2.58,15
3.64009E+14,,1,1400/10/04,36.5,2.99,2.74,16
3.64009E+14,,1,1400/11/05,39,3.64,2.79,17
3.64009E+14,,1,1400/12/02,39.5,3.28,3.05,26
3.64009E+14,,1,1401/01/06,39.5,3.43,2.87,19
3.64009E+14,,1,1401/02/04,40.5,3.07,2.69,177
3.64009E+14,,1,1401/03/08,40,3.22,2.79,31
3.64009E+14,,1,1401/04/04,34,4.08,2.92,3161
3.64009E+14,,1,1401/05/04,24,3.37,3.46,30
3.64009E+14,,1,1401/06/07,12.25,3.58,3.61,72
3.64009E+14,,2,1401/07/07,10.46,6.57,5.25,431
3.64009E+14,,2,1401/08/08,31.31,3.85,3.68,901
3.64009E+14,,2,1401/09/08,29.74,3.92,3.56,32
3.64009E+14,,1,1400/05/02,23.5,3.06,4.74,0
3.64009E+14,,1,1400/06/02,36.5,3.39,2.58,19
3.64009E+14,,1,1400/07/04,42,3.6,2.58,0
3.64009E+14,,1,1400/08/01,41.5,2.96,2.71,184
3.64009E+14,,1,1400/09/01,42.5,3.23,2.13,20
3.64009E+14,,1,1400/10/04,41.5,3.05,2.77,17
3.64009E+14,,1,1400/11/05,39,3.37,2.61,20
3.64009E+14,,1,1400/12/02,41.5,2.64,2.76,23
3.64009E+14,,1,1401/01/06,46,2.73,2.49,32
3.64009E+14,,1,1401/02/04,41,3.79,2.14,64
3.64009E+14,,1,1401/03/08,38,3.68,2.43,30
3.64009E+14,,1,1401/04/04,29.5,6.99,2.62,60
3.64009E+14,,1,1401/05/04,35,3.76,3.46,58
3.64009E+14,,1,1401/06/07,39.6,3.49,3.55,139
3.64009E+14,,1,1401/07/07,36.73,5.55,3.62,410
3.64009E+14,,1,1401/08/08,29.47,4.53,4.07,32
3.64009E+14,,2,1401/11/09,22.45,6.99,3.37,505
3.64009E+14,,2,1401/12/10,38.19,3.77,2.21,32
3.64009E+14,,2,1402/01/09,38.67,3.87,3.13,321
3.64009E+14,,2,1402/02/12,47.27,4.52,2.46,13
3.64009E+14,,2,1402/03/12,41.95,4.02,2.99,1001
3.64009E+14,,2,1402/04/11,41.71,5.29,1.97,12
3.64009E+14,,1,1400/06/02,30,3.87,2.96,21
3.64009E+14,,1,1400/07/04,31,3.84,2.91,0
3.64009E+14,,1,1400/08/01,36,3.35,3.05,326
3.64009E+14,,1,1400/09/01,35,3.53,2.51,17
3.64009E+14,,1,1400/10/04,31,3.71,2.8,17
3.64009E+14,,1,1400/11/05,30.5,4.62,2.89,15
3.64009E+14,,1,1400/12/02,33.5,3.62,3.3,21
3.64009E+14,,1,1401/01/06,35.5,3.44,2.85,17
3.64009E+14,,1,1401/02/04,37.5,3.8,2.86,40
3.64009E+14,,1,1401/03/08,30,2.78,2.64,30
3.64009E+14,,2,1401/06/07,45.48,3.21,2.97,98
3.64009E+14,,2,1401/07/07,48.18,4.5,3.29,58
3.64009E+14,,2,1401/08/08,32.82,5.7,3.54,123
3.64009E+14,,2,1401/09/08,35.77,4.13,3.32,131
3.64009E+14,,2,1401/10/07,36.89,4.67,3.53,77
3.64009E+14,,2,1401/11/09,39.25,5.21,3.24,163
3.64009E+14,,2,1401/12/10,39.22,4.77,2.76,79
3.64009E+14,,2,1402/01/09,35.98,3.62,3.04,312
3.64009E+14,,2,1402/02/12,37.1,6.49,2.56,14
3.64009E+14,,2,1402/03/12,31.02,4.55,2.26,1071
3.64009E+14,,2,1402/04/11,31.7,3.57,2.54,19
3.64009E+14,,2,1402/05/13,32.37,4.41,2.71,14
3.64009E+14,,2,1402/06/15,27,3.41,3.07,94
3.64009E+14,,3,1402/09/11,50.68,3.75,3.04,18
3.64009E+14,,3,1402/10/11,59.81,3.2,3.02,12
3.64009E+14,,3,1402/11/15,58.03,2.99,3.05,0
3.64009E+14,,3,1403/02/07,52.96,5,3.11,44
3.64009E+14,,3,1403/03/11,49.82,0,0,0
3.64009E+14,,3,1403/04/11,47.68,4.22,3.34,0
3.64009E+14,,3,1403/05/15,45.61,3.57,3.04,13
3.64009E+14,,3,1403/07/22,37.46,5,2.82,356
3.64009E+14,,3,1403/08/24,35.98,5,3.81,162
3.64009E+14,,1,1400/08/01,20,4.26,3.41,895
3.64009E+14,,1,1400/09/01,35,4.39,2.22,17
3.64009E+14,,1,1400/10/04,41,4.13,2.57,19
3.64009E+14,,1,1400/11/05,31,3.82,2.63,17
3.64009E+14,,1,1400/12/02,30,3.64,2.73,176
3.64009E+14,,1,1401/01/06,41.5,3.45,2.65,77
3.64009E+14,,1,1401/02/04,39,3.33,2.54,35
3.64009E+14,,1,1401/03/08,36,4.96,2.55,32
3.64009E+14,,1,1401/04/04,38,3.08,3.27,181
3.64009E+14,,2,1401/07/07,40.96,6.53,3.89,31
3.64009E+14,,2,1401/08/08,50.54,4.92,3.81,33
3.64009E+14,,2,1401/09/08,47.41,3.86,3.2,31
3.64009E+14,,2,1401/10/07,48.92,3.09,3.24,66
3.64009E+14,,2,1401/11/09,47.32,4.5,3.04,97
3.64009E+14,,2,1401/12/10,47.88,4.53,2.78,948
3.64009E+14,,2,1402/01/09,40.71,5.13,3.89,78
3.64009E+14,,2,1402/02/12,44.02,3.08,2.58,27
3.64009E+14,,2,1402/03/12,41.28,3.36,2.46,959
3.64009E+14,,2,1402/04/11,41.23,3.26,2.42,13
3.64009E+14,,3,1402/08/13,47.64,0,0,0
3.64009E+14,,3,1402/09/11,47.85,3.01,2.88,127
3.64009E+14,,3,1402/10/11,53.62,2.69,2.93,12
3.64009E+14,,3,1402/11/15,47.14,2.11,3.12,0
3.64009E+14,,3,1402/12/16,51,2.92,2.78,125
3.64009E+14,,3,1403/02/07,26.51,2,3.02,340
3.64009E+14,,3,1403/03/11,49.61,0,0,0
3.64009E+14,,3,1403/04/11,45.04,2.98,3.53,0
3.64009E+14,,3,1403/05/15,49.62,2.9,3.07,15
3.64009E+14,,3,1403/06/18,49.64,3.58,3.96,12
3.64009E+14,,3,1403/07/22,30.49,2.84,2.75,210
3.64009E+14,,3,1403/08/24,25.5,5,3.02,116
3.64009E+14,,1,1401/04/04,16,3.81,3.11,111
3.64009E+14,,1,1400/09/01,35,3.81,2.79,18
3.64009E+14,,1,1400/10/04,40,3.61,2.94,16
3.64009E+14,,1,1400/11/05,39,3.6,2.7,18
3.64009E+14,,1,1400/12/02,40,2.28,3.1,231
3.64009E+14,,1,1401/01/06,42,2.7,2.83,22
3.64009E+14,,1,1401/02/04,32.5,5.24,2.67,32
3.64009E+14,,1,1401/03/08,43,3.28,2.51,29
3.64009E+14,,1,1401/04/04,40,3.46,3.43,31
3.64009E+14,,1,1401/05/04,39.5,2.7,3.22,955
3.64009E+14,,1,1401/06/07,36.26,5,3.85,99
3.64009E+14,,1,1401/07/07,39.25,5.99,4.13,170
3.64009E+14,,1,1401/08/08,33.5,4.33,3.57,94
3.64009E+14,,2,1401/11/09,44.36,5.99,3.37,159
3.64009E+14,,2,1401/12/10,61.82,2.8,2.6,73
3.64009E+14,,2,1402/01/09,55.05,5.29,3.42,193
3.64009E+14,,2,1402/02/12,60.54,6.1,2.43,11
3.64009E+14,,2,1402/03/12,64.85,5,2.5,1190
3.64009E+14,,2,1402/04/11,50.5,4.69,2.41,22
3.64009E+14,,2,1402/05/13,54.49,4.52,2.6,11
3.64009E+14,,2,1402/06/15,52.05,4.6,2.48,16
3.64009E+14,,2,1402/07/11,44.51,2,2.52,358
3.64009E+14,,2,1402/08/13,50.35,0,0,0
3.64009E+14,,2,1402/09/11,51.2,4.07,3.17,749
3.64009E+14,,2,1402/10/11,45.47,5,3.42,11
3.64009E+14,,2,1402/11/15,35.32,5,3.33,0
3.64009E+14,,2,1402/12/16,28.04,5,3.19,126
3.64009E+14,,3,1403/04/11,40.51,2.69,5.48,0
3.64009E+14,,3,1403/05/15,62.81,4.94,2.87,12
3.64009E+14,,3,1403/06/18,28.01,3.19,3.95,12
3.64009E+14,,3,1403/07/22,55.98,4.22,2.95,89
3.64009E+14,,3,1403/08/24,60.66,3.38,3.69,160
3.64009E+14,,1,1400/11/05,26.5,4.67,3.06,16
3.64009E+14,,1,1400/12/02,36,3.05,2.63,21
3.64009E+14,,1,1401/01/06,36,3.82,2.48,24
3.64009E+14,,1,1401/02/04,40,3.26,2.62,133
3.64009E+14,,1,1401/03/08,35.5,3.58,2.06,31
